iter	Logloss
0	0.6603073779
1	0.6332710206
2	0.6109734996
3	0.5924644
4	0.577261573
5	0.5645780072
6	0.5537692309
7	0.5446269283
8	0.5369346542
9	0.5278042612
10	0.5201683318
11	0.513997354
12	0.5087413898
13	0.5039804675
14	0.500298672
15	0.4972128501
16	0.4943677388
17	0.4920267402
18	0.4900543348
19	0.48843651
20	0.4869855622
21	0.4857929127
22	0.4848302777
23	0.4840647407
24	0.4836772981
25	0.483070577
26	0.4826637539
27	0.4822763106
28	0.4818932137
29	0.4814903836
30	0.4810699669
31	0.4808970418
32	0.4806867435
33	0.4803723556
34	0.480059621
35	0.4798985871
36	0.4798754268
37	0.479716821
38	0.4795154869
39	0.4793736785
40	0.4792363081
41	0.4791081979
42	0.478983509
43	0.4788905909
44	0.4787891346
45	0.4787856739
46	0.4786932707
47	0.4786820137
48	0.4785931012
49	0.4785916264
50	0.478547371
51	0.4784713767
52	0.4784553626
53	0.4784232982
54	0.4784222994
55	0.4783889014
56	0.4783531594
57	0.4783521169
58	0.4782893989
59	0.478266087
60	0.4782583479
61	0.4782582465
62	0.4782200336
63	0.4781483775
64	0.4781423271
65	0.4780819225
66	0.4780682456
67	0.4780145402
68	0.4780047005
69	0.4779864467
70	0.4779743292
71	0.4779261446
72	0.4779231367
73	0.4779212967
74	0.4779093706
75	0.4779090887
76	0.4778795382
77	0.4778299982
78	0.477793688
79	0.4777517794
80	0.4777239391
81	0.4777221945
82	0.4777032547
83	0.4776942274
84	0.477671754
85	0.4776659482
86	0.4775921653
87	0.4775919398
88	0.4775699693
89	0.4775538246
90	0.4775482953
91	0.4775124852
92	0.4775117621
93	0.4774635107
94	0.477395062
95	0.4773818999
96	0.4773777545
97	0.4773329395
98	0.4773263076
99	0.4773259419
